age_group,sex,educ,province,n
18-24,Female,Bachelor's degree,Alberta,553
18-24,Female,Bachelor's degree,British Columbia,572
18-24,Female,Bachelor's degree,Manitoba,130
18-24,Female,Bachelor's degree,New Brunswick,99
18-24,Female,Bachelor's degree,Newfoundland and Labrador,53
18-24,Female,Bachelor's degree,Northern Canada,3
18-24,Female,Bachelor's degree,Nova Scotia,152
18-24,Female,Bachelor's degree,Ontario,2588
18-24,Female,Bachelor's degree,Prince Edward Island,18
18-24,Female,Bachelor's degree,Quebec,823
18-24,Female,Bachelor's degree,Saskatchewan,106
18-24,Female,Degree above Bachelor's,Alberta,35
18-24,Female,Degree above Bachelor's,British Columbia,34
18-24,Female,Degree above Bachelor's,Manitoba,5
18-24,Female,Degree above Bachelor's,New Brunswick,3
18-24,Female,Degree above Bachelor's,Nova Scotia,9
18-24,Female,Degree above Bachelor's,Ontario,247
18-24,Female,Degree above Bachelor's,Prince Edward Island,1
18-24,Female,Degree above Bachelor's,Quebec,103
18-24,Female,Degree above Bachelor's,Saskatchewan,3
18-24,Female,HS Diploma or equivalent,Alberta,2397
18-24,Female,HS Diploma or equivalent,British Columbia,2815
18-24,Female,HS Diploma or equivalent,Manitoba,827
18-24,Female,HS Diploma or equivalent,New Brunswick,369
18-24,Female,HS Diploma or equivalent,Newfoundland and Labrador,260
18-24,Female,HS Diploma or equivalent,Northern Canada,48
18-24,Female,HS Diploma or equivalent,Nova Scotia,503
18-24,Female,HS Diploma or equivalent,Ontario,7980
18-24,Female,HS Diploma or equivalent,Prince Edward Island,77
18-24,Female,HS Diploma or equivalent,Quebec,3054
18-24,Female,HS Diploma or equivalent,Saskatchewan,671
18-24,Female,"No certificate, diploma or degree",Alberta,562
18-24,Female,"No certificate, diploma or degree",British Columbia,427
18-24,Female,"No certificate, diploma or degree",Manitoba,264
18-24,Female,"No certificate, diploma or degree",New Brunswick,71
18-24,Female,"No certificate, diploma or degree",Newfoundland and Labrador,52
18-24,Female,"No certificate, diploma or degree",Northern Canada,55
18-24,Female,"No certificate, diploma or degree",Nova Scotia,134
18-24,Female,"No certificate, diploma or degree",Ontario,1437
18-24,Female,"No certificate, diploma or degree",Prince Edward Island,11
18-24,Female,"No certificate, diploma or degree",Quebec,1035
18-24,Female,"No certificate, diploma or degree",Saskatchewan,192
18-24,Female,Non-university degree,Alberta,808
18-24,Female,Non-university degree,British Columbia,853
18-24,Female,Non-university degree,Manitoba,204
18-24,Female,Non-university degree,New Brunswick,150
18-24,Female,Non-university degree,Newfoundland and Labrador,105
18-24,Female,Non-university degree,Northern Canada,9
18-24,Female,Non-university degree,Nova Scotia,169
18-24,Female,Non-university degree,Ontario,2744
18-24,Female,Non-university degree,Prince Edward Island,29
18-24,Female,Non-university degree,Quebec,3643
18-24,Female,Non-university degree,Saskatchewan,179
18-24,Male,Bachelor's degree,Alberta,349
18-24,Male,Bachelor's degree,British Columbia,375
18-24,Male,Bachelor's degree,Manitoba,73
18-24,Male,Bachelor's degree,New Brunswick,51
18-24,Male,Bachelor's degree,Newfoundland and Labrador,29
18-24,Male,Bachelor's degree,Northern Canada,1
18-24,Male,Bachelor's degree,Nova Scotia,77
18-24,Male,Bachelor's degree,Ontario,1783
18-24,Male,Bachelor's degree,Prince Edward Island,10
18-24,Male,Bachelor's degree,Quebec,421
18-24,Male,Bachelor's degree,Saskatchewan,68
18-24,Male,Degree above Bachelor's,Alberta,13
18-24,Male,Degree above Bachelor's,British Columbia,24
18-24,Male,Degree above Bachelor's,Manitoba,5
18-24,Male,Degree above Bachelor's,New Brunswick,1
18-24,Male,Degree above Bachelor's,Newfoundland and Labrador,2
18-24,Male,Degree above Bachelor's,Nova Scotia,3
18-24,Male,Degree above Bachelor's,Ontario,141
18-24,Male,Degree above Bachelor's,Quebec,56
18-24,Male,Degree above Bachelor's,Saskatchewan,1
18-24,Male,HS Diploma or equivalent,Alberta,2750
18-24,Male,HS Diploma or equivalent,British Columbia,3117
18-24,Male,HS Diploma or equivalent,Manitoba,930
18-24,Male,HS Diploma or equivalent,New Brunswick,428
18-24,Male,HS Diploma or equivalent,Newfoundland and Labrador,273
18-24,Male,HS Diploma or equivalent,Northern Canada,59
18-24,Male,HS Diploma or equivalent,Nova Scotia,545
18-24,Male,HS Diploma or equivalent,Ontario,9345
18-24,Male,HS Diploma or equivalent,Prince Edward Island,82
18-24,Male,HS Diploma or equivalent,Quebec,3184
18-24,Male,HS Diploma or equivalent,Saskatchewan,703
18-24,Male,"No certificate, diploma or degree",Alberta,777
18-24,Male,"No certificate, diploma or degree",British Columbia,552
18-24,Male,"No certificate, diploma or degree",Manitoba,299
18-24,Male,"No certificate, diploma or degree",New Brunswick,99
18-24,Male,"No certificate, diploma or degree",Newfoundland and Labrador,84
18-24,Male,"No certificate, diploma or degree",Northern Canada,70
18-24,Male,"No certificate, diploma or degree",Nova Scotia,143
18-24,Male,"No certificate, diploma or degree",Ontario,1988
18-24,Male,"No certificate, diploma or degree",Prince Edward Island,24
18-24,Male,"No certificate, diploma or degree",Quebec,1640
18-24,Male,"No certificate, diploma or degree",Saskatchewan,251
18-24,Male,Non-university degree,Alberta,798
18-24,Male,Non-university degree,British Columbia,810
18-24,Male,Non-university degree,Manitoba,204
18-24,Male,Non-university degree,New Brunswick,170
18-24,Male,Non-university degree,Newfoundland and Labrador,147
18-24,Male,Non-university degree,Northern Canada,8
18-24,Male,Non-university degree,Nova Scotia,186
18-24,Male,Non-university degree,Ontario,2655
18-24,Male,Non-university degree,Prince Edward Island,30
18-24,Male,Non-university degree,Quebec,3477
18-24,Male,Non-university degree,Saskatchewan,174
25-34,Female,Bachelor's degree,Alberta,2334
25-34,Female,Bachelor's degree,British Columbia,2303
25-34,Female,Bachelor's degree,Manitoba,610
25-34,Female,Bachelor's degree,New Brunswick,259
25-34,Female,Bachelor's degree,Newfoundland and Labrador,191
25-34,Female,Bachelor's degree,Northern Canada,38
25-34,Female,Bachelor's degree,Nova Scotia,408
25-34,Female,Bachelor's degree,Ontario,7017
25-34,Female,Bachelor's degree,Prince Edward Island,64
25-34,Female,Bachelor's degree,Quebec,3221
25-34,Female,Bachelor's degree,Saskatchewan,541
25-34,Female,Degree above Bachelor's,Alberta,631
25-34,Female,Degree above Bachelor's,British Columbia,805
25-34,Female,Degree above Bachelor's,Manitoba,158
25-34,Female,Degree above Bachelor's,New Brunswick,70
25-34,Female,Degree above Bachelor's,Newfoundland and Labrador,65
25-34,Female,Degree above Bachelor's,Northern Canada,11
25-34,Female,Degree above Bachelor's,Nova Scotia,128
25-34,Female,Degree above Bachelor's,Ontario,2889
25-34,Female,Degree above Bachelor's,Prince Edward Island,9
25-34,Female,Degree above Bachelor's,Quebec,1593
25-34,Female,Degree above Bachelor's,Saskatchewan,115
25-34,Female,HS Diploma or equivalent,Alberta,1966
25-34,Female,HS Diploma or equivalent,British Columbia,1774
25-34,Female,HS Diploma or equivalent,Manitoba,587
25-34,Female,HS Diploma or equivalent,New Brunswick,254
25-34,Female,HS Diploma or equivalent,Newfoundland and Labrador,184
25-34,Female,HS Diploma or equivalent,Northern Canada,53
25-34,Female,HS Diploma or equivalent,Nova Scotia,291
25-34,Female,HS Diploma or equivalent,Ontario,4087
25-34,Female,HS Diploma or equivalent,Prince Edward Island,40
25-34,Female,HS Diploma or equivalent,Quebec,1645
25-34,Female,HS Diploma or equivalent,Saskatchewan,495
25-34,Female,"No certificate, diploma or degree",Alberta,665
25-34,Female,"No certificate, diploma or degree",British Columbia,414
25-34,Female,"No certificate, diploma or degree",Manitoba,208
25-34,Female,"No certificate, diploma or degree",New Brunswick,39
25-34,Female,"No certificate, diploma or degree",Newfoundland and Labrador,58
25-34,Female,"No certificate, diploma or degree",Northern Canada,40
25-34,Female,"No certificate, diploma or degree",Nova Scotia,83
25-34,Female,"No certificate, diploma or degree",Ontario,1442
25-34,Female,"No certificate, diploma or degree",Prince Edward Island,14
25-34,Female,"No certificate, diploma or degree",Quebec,1040
25-34,Female,"No certificate, diploma or degree",Saskatchewan,160
25-34,Female,Non-university degree,Alberta,2555
25-34,Female,Non-university degree,British Columbia,2333
25-34,Female,Non-university degree,Manitoba,556
25-34,Female,Non-university degree,New Brunswick,396
25-34,Female,Non-university degree,Newfoundland and Labrador,283
25-34,Female,Non-university degree,Northern Canada,38
25-34,Female,Non-university degree,Nova Scotia,466
25-34,Female,Non-university degree,Ontario,7037
25-34,Female,Non-university degree,Prince Edward Island,59
25-34,Female,Non-university degree,Quebec,5538
25-34,Female,Non-university degree,Saskatchewan,591
25-34,Male,Bachelor's degree,Alberta,1634
25-34,Male,Bachelor's degree,British Columbia,1712
25-34,Male,Bachelor's degree,Manitoba,411
25-34,Male,Bachelor's degree,New Brunswick,149
25-34,Male,Bachelor's degree,Newfoundland and Labrador,99
